ResponseId,EndDate,team_name,themes,Issue,Month.1,Month.2,Month.3,Month.4,Month.5,Month.6,Month.7,Month.8,Month.9,Month.10,Month.11,Month.12,confidence,subexpert,pub,basis,numpred_4,covidcondyn,covidmeas,covidest_1,covidest_2,covidest_3,covidest_4,covidest_5,covidest_6,covidest_7,covidest_8,covidest_9,covidest_10,covidest_11,covidest_12,Method
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",lifesat,6.24,6.26,6.22,6.24,6.27,6.26,6.28,6.32,6.3,6.35,6.36,6.34,3,5,2,"1,2",1,1,4,55000,65000,68000,70000,72000,73000,73500,74000,75000,75500,76000,76500,Intuition/Theory
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",posaffect,-1.2,-1.1,-1.3,-0.97,-0.95,-1.1,-0.95,-1.2,-0.9,-1.1,-0.8,-1.2,2,2,2,1,1,1,4,55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,Intuition/Theory
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",negaffect,0.77,0.86,0.8,0.91,1.03,0.9,0.96,0.99,0.87,0.96,1.06,0.95,2,2,2,1,1,1,4,55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,Intuition/Theory
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",polar,75,80,77,79,81,75,82,85,80,77,83,85,2,2,2,1,1,1,4,55000,65000,68000,72000,75000,76000,76500,77000,77500,78000,78500,79000,Intuition/Theory
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",iasian,0.6,0.55,0.48,0.52,0.35,0.4,0.52,0.41,0.49,0.39,0.49,0.52,3,2,2,1,1,1,4,55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,775000,78000,Intuition/Theory
R_3Opn01NyerOFmAe,4/24/2020 18:12,Forecasting Team 1,1,lifesat,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,6,2,"1,2",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_3D5hhCqsvLNisbo,4/26/2020 0:47,ab,3,ideolrep,40,40,40,40,40,40,40,40,40,40,40,40,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_3D5hhCqsvLNisbo,4/26/2020 0:47,ab,3,ideoldem,42,42,42,42,42,42,42,42,42,42,42,42,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",lifesat,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",posaffect,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",negaffect,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",ideolrep,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",ideoldem,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",polar,78.3,78,78.3,78,78.3,78,78.3,78,78.3,78,78.3,78,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
